COLUMNS:
Time, 
Rjoint_cyl1:r:z:rad, 
Ujoint_z1:r:z:rad, 
Ujoint_y1:r:y:rad, 
Sjoint_z1:r:z:rad, 
Sjoint_y1:r:y:rad, 
Sjoint_x1:r:x:rad, 
Rjoint_cyl2:r:z:rad, 
Ujoint_z2:r:z:rad, 
Ujoint_y2:r:y:rad, 
Rjoint_cyl3:r:z:rad, 
Ujoint_z3:r:z:rad, 
Ujoint_y3:r:y:rad, 
Rjoint_cyl4:r:z:rad, 
Ujoint_z4:r:z:rad, 
Ujoint_y4:r:y:rad, 
Rjoint_cyl5:r:z:rad, 
Ujoint_z5:r:z:rad, 
Ujoint_y5:r:y:rad, 
Rjoint_cyl6:r:z:rad, 
Ujoint_z6:r:z:rad, 
Ujoint_y6:r:y:rad, 
DATA:
1.75, 1.38095, -1.78448, -0.131303, 1.71457, -0.943054, 0.367861, 1.28935, -1.6812, 0.130862, 1.19688, -1.568, -0.132136, 1.22784, -1.6058, 0.130763, 1.37281, -1.77309, -0.129359, 1.43137, -1.83911, 0.13328
1.8, 1.38611, -1.79004, -0.131369, 1.70806, -0.942076, 0.370677, 1.29526, -1.68809, 0.130812, 1.19754, -1.56855, -0.131926, 1.22382, -1.60106, 0.130999, 1.36732, -1.767, -0.129227, 1.42908, -1.83694, 0.133369
1.85, 1.39111, -1.79538, -0.131435, 1.70176, -0.941124, 0.373084, 1.30123, -1.69501, 0.130768, 1.19849, -1.56946, -0.131709, 1.22003, -1.59658, 0.131237, 1.3617, -1.76075, -0.129116, 1.42652, -1.83446, 0.133437
1.9, 1.39592, -1.80051, -0.131499, 1.69568, -0.940201, 0.375077, 1.30726, -1.70195, 0.130729, 1.19973, -1.57075, -0.131489, 1.21648, -1.59239, 0.131476, 1.35596, -1.75436, -0.129026, 1.42368, -1.83167, 0.133484
1.95, 1.40055, -1.8054, -0.131561, 1.68984, -0.939313, 0.376652, 1.31332, -1.70889, 0.130695, 1.20125, -1.57239, -0.131266, 1.21317, -1.5885, 0.131713, 1.35012, -1.74785, -0.128959, 1.42059, -1.82858, 0.133509
2, 1.40496, -1.81005, -0.13162, 1.68426, -0.938462, 0.377803, 1.3194, -1.71581, 0.130667, 1.20305, -1.57439, -0.131044, 1.21011, -1.58492, 0.131945, 1.34419, -1.74123, -0.128915, 1.41725, -1.8252, 0.133512
2.05, 1.40916, -1.81445, -0.131675, 1.67896, -0.937653, 0.378531, 1.32548, -1.7227, 0.130645, 1.20511, -1.57675, -0.130824, 1.20733, -1.58165, 0.132171, 1.33819, -1.73452, -0.128895, 1.41368, -1.82153, 0.133492
2.1, 1.41313, -1.81859, -0.131727, 1.67395, -0.936888, 0.378833, 1.33156, -1.72954, 0.13063, 1.20744, -1.57944, -0.130608, 1.20481, -1.57872, 0.132389, 1.33213, -1.72773, -0.128899, 1.40987, -1.81758, 0.133451
2.15, 1.41686, -1.82245, -0.131774, 1.66925, -0.936172, 0.378709, 1.33761, -1.73631, 0.130621, 1.21003, -1.58247, -0.1304, 1.20257, -1.57612, 0.132595, 1.32603, -1.72087, -0.128927, 1.40586, -1.81337, 0.133387
2.2, 1.42033, -1.82604, -0.131817, 1.66486, -0.935507, 0.378161, 1.34362, -1.743, 0.130619, 1.21286, -1.58582, -0.1302, 1.20061, -1.57387, 0.132788, 1.3199, -1.71398, -0.128978, 1.40164, -1.8089, 0.133303
2.25, 1.42354, -1.82934, -0.131854, 1.6608, -0.934896, 0.377191, 1.34957, -1.74959, 0.130623, 1.21594, -1.58949, -0.130011, 1.19895, -1.57197, 0.132966, 1.31377, -1.70706, -0.129052, 1.39722, -1.80417, 0.133198
2.3, 1.42648, -1.83234, -0.131885, 1.65709, -0.934342, 0.375802, 1.35545, -1.75606, 0.130635, 1.21925, -1.59346, -0.129835, 1.19758, -1.57042, 0.133127, 1.30764, -1.70013, -0.129148, 1.39263, -1.79922, 0.133075
2.35, 1.42914, -1.83504, -0.131911, 1.65374, -0.933847, 0.373998, 1.36124, -1.7624, 0.130652, 1.22278, -1.59773, -0.129673, 1.19651, -1.56924, 0.13327, 1.30154, -1.6932, -0.129266, 1.38788, -1.79403, 0.132933
2.4, 1.43151, -1.83744, -0.13193, 1.65075, -0.933414, 0.371784, 1.36693, -1.7686, 0.130676, 1.22652, -1.60227, -0.129527, 1.19574, -1.56842, 0.133393, 1.29547, -1.6863, -0.129404, 1.38296, -1.78863, 0.132775
2.45, 1.43358, -1.83953, -0.131942, 1.64813, -0.933044, 0.369167, 1.37251, -1.77464, 0.130706, 1.23047, -1.60708, -0.129399, 1.19528, -1.56797, 0.133495, 1.28945, -1.67944, -0.129561, 1.37791, -1.78303, 0.132602
2.5, 1.43535, -1.8413, -0.131948, 1.6459, -0.932739, 0.366154, 1.37795, -1.78051, 0.130741, 1.23461, -1.61214, -0.129289, 1.19513, -1.56788, 0.133574, 1.28351, -1.67265, -0.129735, 1.37273, -1.77724, 0.132416
2.55, 1.43681, -1.84275, -0.131948, 1.64406, -0.9325, 0.362753, 1.38324, -1.78619, 0.130782, 1.23894, -1.61744, -0.1292, 1.19528, -1.56817, 0.133631, 1.27765, -1.66593, -0.129924, 1.36743, -1.77128, 0.132219
2.6, 1.43795, -1.84388, -0.131941, 1.64262, -0.932328, 0.358973, 1.38837, -1.79167, 0.130828, 1.24344, -1.62296, -0.129131, 1.19574, -1.56882, 0.133665, 1.27189, -1.6593, -0.130127, 1.36203, -1.76515, 0.132012
